更新时间: 2026-04-22 20:54:10（北京时间）

更新时间,#genre#
2026-04-22 20:54:10,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://220.192.130.71:8002/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://220.192.130.71:8002/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://121.238.250.95:8800/rtp/239.49.8.20:9618$江苏电信
江苏卫视,http://27.11.252.52:8002/rtp/225.0.4.79:7980$重庆市联通
江苏卫视,http://121.230.144.64:8000/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://183.151.27.188:4022/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://183.151.27.188:4022/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://220.192.130.71:8002/rtp/225.0.4.79:7980$重庆市联通
江苏卫视,http://121.238.250.95:8800/rtp/239.49.8.16:9602$江苏电信
东方卫视,http://27.11.252.52:8002/rtp/225.0.4.103:7980$重庆市联通
东方卫视,http://27.11.252.52:8002/rtp/225.0.4.80:7980$重庆市联通
东方卫视,http://121.230.144.64:8000/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://183.151.27.188:4022/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://183.151.27.188:4022/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://183.151.27.188:4022/rtp/233.50.202.105:5140$浙江电信
东方卫视,http://220.192.130.71:8002/rtp/225.0.4.103:7980$重庆市联通
东方卫视,http://220.192.130.71:8002/rtp/225.0.4.80:7980$重庆市联通
东方卫视,http://121.238.250.95:8800/rtp/239.49.8.17:9606$江苏电信
深圳卫视,http://27.11.252.52:8002/rtp/225.0.4.101:7980$重庆市联通
深圳卫视,http://27.11.252.52:8002/rtp/225.0.4.202:7980$重庆市联通
深圳卫视,http://121.230.144.64:8000/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://183.151.27.188:4022/rtp/233.50.201.101:5140$浙江电信
深圳卫视,http://183.151.27.188:4022/rtp/233.50.200.188:5140$浙江电信
深圳卫视,http://183.151.27.188:4022/rtp/233.50.202.102:5140$浙江电信
深圳卫视,http://220.192.130.71:8002/rtp/225.0.4.101:7980$重庆市联通
深圳卫视,http://220.192.130.71:8002/rtp/225.0.4.202:7980$重庆市联通
深圳卫视,http://121.238.250.95:8800/rtp/239.49.8.15:9430$江苏电信
北京卫视,http://27.11.252.52:8002/rtp/225.0.4.122:7980$重庆市联通
北京卫视,http://27.11.252.52:8002/rtp/225.0.4.78:7980$重庆市联通
北京卫视,http://121.230.144.64:8000/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://183.151.27.188:4022/rtp/233.50.201.107:5140$浙江电信
北京卫视,http://183.151.27.188:4022/rtp/233.50.200.179:5140$浙江电信
北京卫视,http://183.151.27.188:4022/rtp/233.50.202.100:5140$浙江电信
北京卫视,http://220.192.130.71:8002/rtp/225.0.4.122:7980$重庆市联通
北京卫视,http://220.192.130.71:8002/rtp/225.0.4.78:7980$重庆市联通
北京卫视,http://121.238.250.95:8800/rtp/239.49.8.11:9414$江苏电信
广东卫视,http://27.11.252.52:8002/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://27.11.252.52:8002/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://121.230.144.64:8000/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.200.187:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.200.126:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.200.149:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.201.102:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.202.101:5140$浙江电信
广东卫视,http://220.192.130.71:8002/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://220.192.130.71:8002/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://121.238.250.95:8800/rtp/239.49.8.13:9422$江苏电信
广西卫视,http://121.230.144.64:8000/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://183.151.27.188:4022/rtp/233.50.200.136:5140$浙江电信
广西卫视,http://121.238.250.95:8800/rtp/239.49.8.10:8000$江苏电信
东南卫视,http://27.11.252.52:8002/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://121.230.144.64:8000/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://183.151.27.188:4022/rtp/233.50.201.146:5140$浙江电信
东南卫视,http://183.151.27.188:4022/rtp/233.50.200.135:5140$浙江电信
东南卫视,http://220.192.130.71:8002/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://121.238.250.95:8800/rtp/239.49.8.112:8000$江苏电信
海南卫视,http://121.230.144.64:8000/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://183.151.27.188:4022/rtp/233.50.200.165:5140$浙江电信
海南卫视,http://183.151.27.188:4022/rtp/233.50.200.62:5140$浙江电信
海南卫视,http://183.151.27.188:4022/rtp/233.50.201.55:5140$浙江电信
海南卫视,http://121.238.250.95:8800/rtp/239.49.8.83:8000$江苏电信
河北卫视,http://27.11.252.52:8002/rtp/225.0.4.174:7980$重庆市联通
河北卫视,http://121.230.144.64:8000/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://183.151.27.188:4022/rtp/233.50.201.140:5140$浙江电信
河北卫视,http://183.151.27.188:4022/rtp/233.50.200.105:5140$浙江电信
河北卫视,http://220.192.130.71:8002/rtp/225.0.4.174:7980$重庆市联通
河北卫视,http://121.238.250.95:8800/rtp/239.49.8.114:8000$江苏电信
河南卫视,http://121.230.144.64:8000/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
河南卫视,http://183.151.27.188:4022/rtp/233.50.201.144:5140$浙江电信
河南卫视,http://183.151.27.188:4022/rtp/233.50.200.142:5140$浙江电信
河南卫视,http://121.238.250.95:8800/rtp/239.49.8.29:8000$江苏电信
湖北卫视,http://27.11.252.52:8002/rtp/225.0.4.217:7980$重庆市联通
湖北卫视,http://121.230.144.64:8000/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
湖北卫视,http://183.151.27.188:4022/rtp/233.50.201.114:5140$浙江电信
